"","V4","total"
"1009","@DrDzul",11284
"1010","@outiowill",11278
"1011","@chairmanglc",11273
"1012","@yiyieeen",11266
"1013","@bnonews",11194
"1014","@robinwannabefly",11083
"1015","@MyFavsTrash",11009
"1016","@senronjohnson",10894
"1017","@willtbh",10746
"1018","@helpmeimskek",10720
"1019","@ranojpegu",10678
"1020","@ABC",10652
"1021","@Pogllins",10620
"1022","@shawnsbreathin",10547
"1023","@possiblymadness",10347
"1024","@ijaicool",10346
"1025","@ayoair",10214
"1026","@DearDean22",10192
"1027","@OfficiallyAlly",10177
"1028","@5ecretnumber",10174
"1029","@takterqyira",10083
"1030","@antoniokeko9",10080
"1031","@gavinnewsom",10069
"1032","@thestandardth",10008
"1033","@acaiijawe",9972
"1034","@suthichai",9963
"1035","@BolsonaroSP",9957
"1036","@ieralee",9893
"1037","@ol7nnon",9883
"1038","@anthraxxxx",9876
"1039","@felipeneto",9795
"1040","@tastefullytayy",9651
"1041","@NCStinn",9583
"1042","@goodmiad",9529
"1043","@jonijonijoni",9519
"1044","@YouTube",9474
"1045","@sudarush",9428
"1046","@betsyrodriguez",9397
"1047","@NicholsUprising",9362
"1048","@KHJEsq",9332
"1049","@samanthariggs",9298
"1050","@fAiDaRaveE",9213
"1051","@Imamofpeace",9181
"1052","@dglo4me",9131
"1053","@SecPompeo",9121
"1054","@beautymilk",9006
"1055","@PanamaRedin215",8985
"1056","@globaltimesnews",8932
"1057","@syazwanismd",8919
"1058","@LBGEEVEE",8737
"1059","@topazine",8686
"1060","@WSJ",8677
"1061","@AhlulQohwah",8671
"1062","@ChinaDaily",8641
"1063","@TheWorldIsY",8533
"1064","@hels",8474
"1065","@reuters",8396
"1066","@tanawatofficial",8336
"1067","@boom13003",8270
"1068","@MoHFWINDIA",8040
"1069","@TrumpWarRoom",7942
"1070","@KarluskaP",7808
"1071","@martineekag",7760
"1072","@CorneliaLG",7741
"1073","@PrinceHAK33M",7676
"1074","@CNNIndonesia",7610
"1075","@SJimons",7540
"1076","@susyrug",7539
"1077","@DrPaulGosar",7526
"1078","@paulettasofia",7526
"1079","@ronkelawal",7512
"1080","@moodyknowsnada",7506
"1081","@who",7442
"1082","@popplioikawa",7285
"1083","@fabiofaria",7193
"1084","@Nazeefah",7126
"1085","@KemluRI",7120
"1086","@prismnolight",7110
"1087","@bease11",7094
"1088","@janyanis",7067
"1089","@business",7055
"1090","@inteldotwav",7033
"1091","@DeanHareethhh",6884
"1092","@PDChina",6859
"1093","@HtownBabyG",6735
"1094","@PrisonPlanet",6692
"1095","@ohgeminii",6662
"1096","@ChrisMurphyCT",6555
"1097","@JeromePolin",6506
"1098","@cottoncandaddy",6477
"1099","@TomValletti",6470
"1100","@lachlan",6431
"1101","@WBYeats1865",6403
"1102","@MrVop",6362
"1103","@bancha333",6300
"1104","@micheljessica",5979
"1105","@tinyunhwa",5934
"1106","@kidmanscill",5884
"1107","@restivogab",5758
"1108","@jdrogers",5698
"1109","@celiasanchezzzz",5690
"1110","@mrspaceman",5606
"1111","@maxbrooksauthor",5555
"1112","@ravaskar",5511
"1113","@Melbrooks",5503
"1114","@MarwanCendawan",5385
"1115","@ariannalp",5181
"1116","@Nyscalo",5070
"1117","@JordanRowes",4943
"1118","@RomitBMD",4646
"1119","@labisbeticah",4396
"1120","@mysevenwhaliens",4371
"1121","@whcos",4327
"1122","@HyundaiGlobal",4325
"1123","@meaw8588",4265
"1124","@reneeyoxon",4230
"1125","@ConflictsW",4107
"1126","@ANI",3765
"1127","@btsupdatesger",3352
"1128","@HLGatell",3283
"1129","@tagemeiqi",1452
"1130","@FinanzasTime",1430
"1131","@RichardEngel",1427
"1132","@ezracheungtoto",1210
"1133","@StandNewsHK",825
