"","V4","total"
"282","#vivanlosm�dicosdelapatria",21300
"283","#haciaunanuevaan",21241
"284","#disiplinterapkan3m",21151
"285","#justiceforandresguardado",21133
"286","#july13coup",21115
"287","#cuarentenaestricta",20978
"288","#trumpsurrendered",20943
"289","#coronavirusupdates",20902
"290","#flexibilizaciónconsciente",20896
"291","#sinovac",20819
"292","#reforzarcontralacovid19",20773
"293","#keepsafefor",20772
"294","#saynotougcguidelines",20755
"295","#sputnikvparaelpueblo",20344
"296","#july2coup",20164
"297","#hoax",20100
"298","#tetapdirumahsaja",20082
"299","#coronaravirus",19983
"300","#patuhiprotokolcovid19",19909
"301","#dontbeaspreader",19799
"302","#june4coup",19791
"303","#ourvaccineourpride",19674
"304","#june28coup",19673
"305","#worldpraisepmikpolicies",19445
"306","#wakeupmhrd",19385
"307","#cuarentenaradicalreforzada",19352
"308","#love",19117
"309","#ncov",19058
"310","#pawankalyan",19037
"311","#taatiprokeshindarikerumunan",18989
"312","#hcq",18848
"313","#polriadaptasikebiasaanbaru",18771
"314","#covid20",18610
"315","#hbdmaheshbabu",18592
"316","#nnevvy",18571
"317","#polrikawaldistribusivaksin",18531
"318","#army",18488
"319","#congresstoolkitexposed",18487
"320","#nbepostponefmge",18376
"321","#electionday",18227
"322","#donateplasmasavelives",18164
"323","#sarsmustend",18113
"324","#nobelprize",17975
"325","#wujudkepedulianpolri",17931
"326","#stopasianhate",17811
"327","#opsketupatcegahcovid19",17802
"328","#june25coup",17725
"329","#covid19mx",17682
"330","#america",17641
"331","#daleunparaoalacovid19",17628
"332","#june24coup",17551
"333","#vote",17518
"334","#longweekendtaati3m",17495
"335","#sembakopolripeduli",17453
"336","#amitshah",17153
"337","#studentsinscforjustice",17139
"338","#chinavirus",17112
"339","#komarambheem",17075
"340","#prokesuntukkitasemua",16970
"341","#polriajakpakaimasker",16963
"342","#tnipolrijaganataru",16957
"343","#carelessaku",16872
"344","#may16coup",16709
"345","#dirumahaja",16641
"346","#radicalcontralacovid19",16505
"347","#minneapolisriot",16472
"348","#july3revilestrike",16261
"349","#f�rmulaperfectaplan7m�s7",16206
"350","#wearmaskprotectlife",16126
"351","#cuidémonosmás",16091
"352","#descuidarseescontagiarse",15871
"353","#heels",15795
"354","#couvrefeu",15711
"355","#cancelboardexam",15709
"356","#bayern3racist",15667
"357","#thanksgiving",15647
"358","#july5coup",15636
"359","#jaganegarakita",15549
"360","#worldwar3",15526
"361","#maklumatkapolritaatprokes",15519
"362","#luchemoscontraelvirus",15478
"363","#pdmspreadingcovid",15473
"364","#treasure",15344
"365","#leerdesbloquea",15313
"366","#cuarentenaesprevenir",15265
"367","#crimesagainsthumanity",15232
"368","#patuhiprokespadapilkada",15149
"369","#pakstandswithchina",15138
"370","#reconfinement",15077
"371","#hyundaix",15018
"372","#michaelbloomberg",15000
"373","#ipoh",14932
"374","#flexibilizaciónsegurayvigilada",14885
"375","#lacovid19noesjuego",14671
"376","#frenaelcontagio",14506
"377","#opinión",14447
"378","#unite2fightcorona",14383
"379","#cuidémonostodos",14139
"380","#cuarentenaradicalysegura",14081
"381","#apoyosedomex",14035
"382","#promoteallcollegestudents",14011
"383","#republican",14011
"384","#liburpanjangterapkan3m",13941
"385","#coronarvirus",13870
"386","#superjunior",13776
"387","#bingo",13724
"388","#postponeese2021",13687
"389","#envideo",13615
"390","#beirut",13537
"391","#nationallockdown",13521
"392","#juventudconcienteysolidaria",13519
"393","#diputadosporlapatria",13481
"394","#ajithfansawarenessforcovid",13401
"395","#reducemedicosfees",13352
"396","#themoreyouknow",13309
"397","#indonesiamaju",13257
"398","#hearthevoiceofmyanmar",13177
"399","#coronaupdate",13028
"400","#modikavaccinepr",12834
"401","#congresstoolkit",12806
"402","#retweet",12802
"403","#cancelclass12thboardexams2021",12770
"404","#taatprokessaatpilkada",12752
"405","#coronalockdown",12728
"406","#mutation",12686
"407","#may27coup",12588
"408","#missguidedcybermon",12411
"409","#paris",12176
"410","#covid19pandemic",11957
"411","#pfizer",11942
"412","#ppkmcegahpandemi",11911
"413","#cov",11865
"414","#christmas",11854
"415","#saludalserviciodelpueblo",11704
"416","#coronarivus",11648
"417","#july4coup",11512
"418","#hongkong",11409
"419","#russianvaccine",11363
"420","#thingangyun",11282
"421","#worldchildrensday",11279
"422","#txts",11230
"423","#cancelexamssavelives",11156
"424","#protegetusalud",11129
"425","#pandemic",10816
"426","#promoteupdeledयोगीमोदीजी",10750
"427","#fox35",10659
"428","#respectourvotes",10525
"429","#coronavaccine",10496
"430","#solidaridadycooperación",10449
"431","#semanaradicalconsciente",10375
"432","#antrabajaconelpueblo",10283
"433","#graciasportulucha",10192
"434","#venezuelaunidayenpaz",10053
"435","#crookedkelly",9880
