"","Year","Month","Day","Sentiment","Count","Avg_Per"
"287",2020,5,4,"neutral",38906,0.102879426666581
"288",2020,5,4,"positive",21010,0.0566814881226311
"289",2020,5,5,"negative",180157,0.825013090130981
"290",2020,5,5,"neutral",24663,0.11278750564072
"291",2020,5,5,"positive",12951,0.0621994042282995
"292",2020,5,6,"negative",296784,0.832616159004129
"293",2020,5,6,"neutral",38038,0.105245736026655
"294",2020,5,6,"positive",21525,0.062138104969216
"295",2020,5,7,"negative",328535,0.833640750391106
"296",2020,5,7,"neutral",40964,0.102586753397709
"297",2020,5,7,"positive",24970,0.0637724962111848
"298",2020,5,8,"negative",338396,0.831024961256643
"299",2020,5,8,"neutral",42785,0.105425768768064
"300",2020,5,8,"positive",25255,0.0635492699752923
"301",2020,5,9,"negative",294714,0.813474557645884
"302",2020,5,9,"neutral",44074,0.122688452723661
"303",2020,5,9,"positive",22807,0.0638369896304551
"304",2020,5,10,"negative",287745,0.832972232556212
"305",2020,5,10,"neutral",37924,0.109709595752788
"306",2020,5,10,"positive",19603,0.0573181716910004
"307",2020,5,11,"negative",317824,0.838032619801002
"308",2020,5,11,"neutral",39129,0.103313687726579
"309",2020,5,11,"positive",21920,0.058653692472419
"310",2020,5,12,"negative",298804,0.839956426680505
"311",2020,5,12,"neutral",36639,0.102301358916313
"312",2020,5,12,"positive",20396,0.0577422144031827
"313",2020,5,13,"negative",329594,0.83240225447815
"314",2020,5,13,"neutral",42693,0.105360670557196
"315",2020,5,13,"positive",24256,0.0622370749646547
"316",2020,5,14,"negative",349249,0.843465852745243
"317",2020,5,14,"neutral",40649,0.096596733838984
"318",2020,5,14,"positive",24733,0.0599374134157733
"319",2020,5,15,"negative",345912,0.839532006230183
"320",2020,5,15,"neutral",37011,0.0891851434018377
"321",2020,5,15,"positive",28457,0.0712828503679791
"322",2020,5,16,"negative",382029,0.84584396535623
"323",2020,5,16,"neutral",44993,0.0971099818682686
"324",2020,5,16,"positive",25527,0.0570460527755014
"325",2020,5,17,"negative",382239,0.841984596258482
"326",2020,5,17,"neutral",44070,0.0971111869645924
"327",2020,5,17,"positive",26832,0.0609042167769256
"328",2020,5,18,"negative",346326,0.817706509993498
"329",2020,5,18,"neutral",38875,0.0913156401822343
"330",2020,5,18,"positive",36978,0.0909778498242675
"331",2020,5,19,"negative",345701,0.835717708681012
"332",2020,5,19,"neutral",39843,0.0960598663024514
"333",2020,5,19,"positive",27250,0.068222425016537
"334",2020,5,20,"negative",325983,0.840090361362135
"335",2020,5,20,"neutral",38927,0.100554119590444
"336",2020,5,20,"positive",22460,0.0593555190474213
"337",2020,5,21,"negative",331337,0.830263488877798
"338",2020,5,21,"neutral",43729,0.111585521622916
"339",2020,5,21,"positive",22489,0.0581509894992856
"340",2020,5,22,"negative",313293,0.823612494390864
"341",2020,5,22,"neutral",42575,0.113617701546445
"342",2020,5,22,"positive",23111,0.0627698040626903
"343",2020,5,23,"negative",354345,0.831978247386651
"344",2020,5,23,"neutral",47106,0.108814539626616
"345",2020,5,23,"positive",24454,0.0592072129867332
"346",2020,5,24,"negative",334683,0.846326823329428
"347",2020,5,24,"neutral",37184,0.0941982016583539
"348",2020,5,24,"positive",22823,0.0594749750122183
"349",2020,5,25,"negative",345805,0.834828779647557
"350",2020,5,25,"neutral",41098,0.0987191843929794
"351",2020,5,25,"positive",27126,0.066452035959464
"352",2020,5,26,"negative",374528,0.836203719461373
"353",2020,5,26,"neutral",45217,0.100656653139896
"354",2020,5,26,"positive",27322,0.0631396273987312
